name,a,b,c,d,att
vacuum,1.0,0.0,0.0,0.0,0.0
air,1.0,0.0,0.0,0.0,0.0
textiles,1.5,0.0,5e-5,0.62,0.0
plastic,2.44,0.0,2.33e-5,1.0,0.0
ceramic,6.5,0.0,0.0023,1.32,0.0
sea_water,80.0,-0.25,4.0,0.58,0.0
sea_ice,3.2,-0.022,1.1,1.5,0.0
water,80.0,-0.18,0.6,1.52,0.0
water_ice,3.17,-0.005,5.6e-5,1.7,0.0
itu_concrete,5.24,0.0,0.0462,0.7822,0.0
itu_brick,3.91,0.0,0.0238,0.16,0.0
itu_plasterboard,2.73,0.0,0.0085,0.9395,0.0
itu_wood,1.99,0.0,0.0047,1.0718,0.0
itu_glass,6.31,0.0,0.0036,1.3394,0.0
itu_ceiling_board,1.48,0.0,0.0011,1.075,0.0
itu_chipboard,2.58,0.0,0.0217,0.78,0.0
itu_plywood,2.71,0.0,0.33,0.0,0.0
itu_marble,7.074,0.0,0.0055,0.9262,0.0
itu_floorboard,3.66,0.0,0.0044,1.3515,0.0
itu_metal,1.0,0.0,1.0e7,0.0,0.0
itu_very_dry_ground,3.0,0.0,0.00015,2.52,0.0
itu_medium_dry_ground,15.0,-0.1,0.035,1.63,0.0
itu_wet_ground,30.0,-0.4,0.15,1.3,0.0
itu_vegetation,1.0,0.0,1.0e-4,1.1,0.0
irr_glass,6.27,0.0,0.0043,1.1925,23.0